"participant","phoneme","feature","muscle","repetition","value"
"volunteer 5","U","MAV","OOI","1",84.7484897639833
"volunteer 1","A","RMS","LLS","1",9.99940527796021
"volunteer 2","A","RMS","LLS","1",11.7324466797691
"volunteer 3","A","RMS","LLS","1",8.95486242565921
"volunteer 4","A","RMS","LLS","1",7.14781090838473
"volunteer 5","A","RMS","LLS","1",4.14284651147969
"volunteer 1","E","RMS","LLS","1",10.7403415547982
"volunteer 2","E","RMS","LLS","1",8.24056489924791
"volunteer 3","E","RMS","LLS","1",12.001866701558
"volunteer 4","E","RMS","LLS","1",6.65309629498886
"volunteer 5","E","RMS","LLS","1",4.13090720304699
"volunteer 1","I","RMS","LLS","1",10.5262120875818
"volunteer 2","I","RMS","LLS","1",15.6650680279505
"volunteer 3","I","RMS","LLS","1",11.8973185476555
"volunteer 4","I","RMS","LLS","1",7.64605765158459
"volunteer 5","I","RMS","LLS","1",4.100646219321
"volunteer 1","O","RMS","LLS","1",13.7721895785534
"volunteer 2","O","RMS","LLS","1",16.3177033977136
"volunteer 3","O","RMS","LLS","1",11.2341160187664
"volunteer 4","O","RMS","LLS","1",12.3286320895971
"volunteer 5","O","RMS","LLS","1",4.42572229829528
"volunteer 1","U","RMS","LLS","1",16.0613440734766
"volunteer 2","U","RMS","LLS","1",47.004075985451
"volunteer 3","U","RMS","LLS","1",15.9388537057299
"volunteer 4","U","RMS","LLS","1",17.601223745903
"volunteer 5","U","RMS","LLS","1",7.68356446583238
"volunteer 1","A","MAV","LLS","1",7.75983970235015
"volunteer 2","A","MAV","LLS","1",7.73982829823526
"volunteer 3","A","MAV","LLS","1",6.82299911559
"volunteer 4","A","MAV","LLS","1",5.41805841100645
"volunteer 5","A","MAV","LLS","1",3.14316932052988
"volunteer 1","E","MAV","LLS","1",8.22821341472749
"volunteer 2","E","MAV","LLS","1",6.28693068320291
"volunteer 3","E","MAV","LLS","1",9.04440431521605
"volunteer 4","E","MAV","LLS","1",5.07567987219672
"volunteer 5","E","MAV","LLS","1",3.22007549490572
"volunteer 1","I","MAV","LLS","1",8.13879499826732
"volunteer 2","I","MAV","LLS","1",11.8114092429293
"volunteer 3","I","MAV","LLS","1",9.04058612747109
"volunteer 4","I","MAV","LLS","1",5.75744861489747
"volunteer 5","I","MAV","LLS","1",3.15202886551479
"volunteer 1","O","MAV","LLS","1",10.2241330108833
"volunteer 2","O","MAV","LLS","1",12.0244175554909
"volunteer 3","O","MAV","LLS","1",8.54341581529927
"volunteer 4","O","MAV","LLS","1",9.24153311838615
"volunteer 5","O","MAV","LLS","1",3.40362012404395
"volunteer 1","U","MAV","LLS","1",12.0081479385144
"volunteer 2","U","MAV","LLS","1",32.0804582777038
"volunteer 3","U","MAV","LLS","1",12.1616602139641
"volunteer 4","U","MAV","LLS","1",13.3349646824362
"volunteer 5","U","MAV","LLS","1",5.82677299703223
"volunteer 1","A","RMS","DAO","1",12.1162939686781
"volunteer 2","A","RMS","DAO","1",11.6944433503374
"volunteer 3","A","RMS","DAO","1",28.5824840690574
"volunteer 4","A","RMS","DAO","1",6.12903309042986
"volunteer 5","A","RMS","DAO","1",5.37638517891576
"volunteer 1","E","RMS","DAO","1",13.0083981043383
"volunteer 2","E","RMS","DAO","1",12.6675218366818
"volunteer 3","E","RMS","DAO","1",20.4687188605435
"volunteer 4","E","RMS","DAO","1",6.08158219990218
"volunteer 5","E","RMS","DAO","1",4.75261883484499
"volunteer 1","I","RMS","DAO","1",10.2966830081493
"volunteer 2","I","RMS","DAO","1",14.7364820762616
"volunteer 3","I","RMS","DAO","1",28.541453479035
"volunteer 4","I","RMS","DAO","1",8.56918285722321
"volunteer 5","I","RMS","DAO","1",4.78741305886972
"volunteer 1","O","RMS","DAO","1",6.85900191669113
"volunteer 2","O","RMS","DAO","1",30.8940397309966
"volunteer 3","O","RMS","DAO","1",9.3354339407464
"volunteer 4","O","RMS","DAO","1",11.6933557221666
"volunteer 5","O","RMS","DAO","1",18.8366899125738
"volunteer 1","U","RMS","DAO","1",7.42319628690124
"volunteer 2","U","RMS","DAO","1",63.3635823894358
"volunteer 3","U","RMS","DAO","1",15.582004361847
"volunteer 4","U","RMS","DAO","1",12.2720459129403
"volunteer 5","U","RMS","DAO","1",43.8629200571543
"volunteer 1","A","MAV","DAO","1",8.97293926370006
"volunteer 2","A","MAV","DAO","1",8.31667356464044
"volunteer 3","A","MAV","DAO","1",22.0226768886528
"volunteer 4","A","MAV","DAO","1",4.62113835632619
"volunteer 5","A","MAV","DAO","1",4.16930261450358
"volunteer 1","E","MAV","DAO","1",9.57333985768207
"volunteer 2","E","MAV","DAO","1",9.5084609281813
"volunteer 3","E","MAV","DAO","1",15.3541884385371
"volunteer 4","E","MAV","DAO","1",4.65213534883084
"volunteer 5","E","MAV","DAO","1",3.69544843162036
"volunteer 1","I","MAV","DAO","1",7.8451056943659
"volunteer 2","I","MAV","DAO","1",11.1783170703078
"volunteer 3","I","MAV","DAO","1",22.0325752902759
"volunteer 4","I","MAV","DAO","1",6.29928192315544
"volunteer 5","I","MAV","DAO","1",3.67049629993489
"volunteer 1","O","MAV","DAO","1",5.09911941712034
"volunteer 2","O","MAV","DAO","1",22.0198914666471
"volunteer 3","O","MAV","DAO","1",6.98972006391921
"volunteer 4","O","MAV","DAO","1",9.01266819397371
"volunteer 5","O","MAV","DAO","1",13.4224963162515
"volunteer 1","U","MAV","DAO","1",5.54497569169665
"volunteer 2","U","MAV","DAO","1",46.1157182948322
"volunteer 3","U","MAV","DAO","1",11.3693122068153
"volunteer 4","U","MAV","DAO","1",9.3138932576047
"volunteer 5","U","MAV","DAO","1",32.5891873639004
"volunteer 1","A","RMS","RIS","1",9.27925660259684
"volunteer 2","A","RMS","RIS","1",8.05028095781993
"volunteer 3","A","RMS","RIS","1",12.5855097686037
"volunteer 4","A","RMS","RIS","1",9.07508608357767
"volunteer 5","A","RMS","RIS","1",5.32769238991088
"volunteer 1","E","RMS","RIS","1",8.39289404663948
"volunteer 2","E","RMS","RIS","1",9.33360094441063
"volunteer 3","E","RMS","RIS","1",13.1001927523902
"volunteer 4","E","RMS","RIS","1",9.42999471950214
"volunteer 5","E","RMS","RIS","1",5.32611661216183
"volunteer 1","I","RMS","RIS","1",7.97098292446329
"volunteer 2","I","RMS","RIS","1",10.9098832545045
"volunteer 3","I","RMS","RIS","1",13.1108730996084
"volunteer 4","I","RMS","RIS","1",9.57307708631308
"volunteer 5","I","RMS","RIS","1",5.6118884626375
"volunteer 1","O","RMS","RIS","1",7.27510354215357
"volunteer 2","O","RMS","RIS","1",9.76585084254072
"volunteer 3","O","RMS","RIS","1",13.8377789647204
"volunteer 4","O","RMS","RIS","1",9.5455545384373
"volunteer 5","O","RMS","RIS","1",6.69061282486003
"volunteer 1","U","RMS","RIS","1",7.62186544868323
"volunteer 2","U","RMS","RIS","1",12.2029861380254
"volunteer 3","U","RMS","RIS","1",11.261394663385
"volunteer 4","U","RMS","RIS","1",9.83109628635082
"volunteer 5","U","RMS","RIS","1",7.15438795771875
"volunteer 1","A","MAV","RIS","1",7.15501237134883
"volunteer 2","A","MAV","RIS","1",5.97877515250832
"volunteer 3","A","MAV","RIS","1",9.76826729474418
"volunteer 4","A","MAV","RIS","1",6.98793125020037
"volunteer 5","A","MAV","RIS","1",4.06087726227823
"volunteer 1","E","MAV","RIS","1",6.52931670969697
"volunteer 2","E","MAV","RIS","1",7.15020722504339
"volunteer 3","E","MAV","RIS","1",10.1552238637459
"volunteer 4","E","MAV","RIS","1",7.28116405522681
"volunteer 5","E","MAV","RIS","1",4.14710448963832
"volunteer 1","I","MAV","RIS","1",6.20102586324049
"volunteer 2","I","MAV","RIS","1",8.28111918290918
"volunteer 3","I","MAV","RIS","1",9.8640324684208
"volunteer 4","I","MAV","RIS","1",7.4182781779692
"volunteer 5","I","MAV","RIS","1",4.40139187207263
"volunteer 1","O","MAV","RIS","1",5.5973480678089
"volunteer 2","O","MAV","RIS","1",7.31279872746525
"volunteer 3","O","MAV","RIS","1",10.6600672813139
"volunteer 4","O","MAV","RIS","1",7.36472509257113
"volunteer 5","O","MAV","RIS","1",5.15738642262128
"volunteer 1","U","MAV","RIS","1",5.82540997287673
"volunteer 2","U","MAV","RIS","1",9.3362353629581
"volunteer 3","U","MAV","RIS","1",8.50799884725347
"volunteer 4","U","MAV","RIS","1",7.57555032135095
"volunteer 5","U","MAV","RIS","1",5.41814661227445
"volunteer 1","A","RMS","ZYG","1",5.6720101770739
"volunteer 2","A","RMS","ZYG","1",8.82014884861386
"volunteer 3","A","RMS","ZYG","1",15.844164025679
"volunteer 4","A","RMS","ZYG","1",4.89476940477898
"volunteer 5","A","RMS","ZYG","1",6.13389096227852
"volunteer 1","E","RMS","ZYG","1",11.2523242817147
"volunteer 2","E","RMS","ZYG","1",9.92321288777471
"volunteer 3","E","RMS","ZYG","1",18.2984394111713
"volunteer 4","E","RMS","ZYG","1",3.99610438377293
"volunteer 5","E","RMS","ZYG","1",6.57462617052313
"volunteer 1","I","RMS","ZYG","1",8.95420563688504
"volunteer 2","I","RMS","ZYG","1",15.0393379872842
"volunteer 3","I","RMS","ZYG","1",21.0974430865686
"volunteer 4","I","RMS","ZYG","1",4.54470676618551
"volunteer 5","I","RMS","ZYG","1",6.41176653099143
"volunteer 1","O","RMS","ZYG","1",5.56792070615093
"volunteer 2","O","RMS","ZYG","1",9.52479383883072
"volunteer 3","O","RMS","ZYG","1",14.525016205303
"volunteer 4","O","RMS","ZYG","1",4.13311345699587
"volunteer 5","O","RMS","ZYG","1",5.51097746585926
"volunteer 1","U","RMS","ZYG","1",5.70104987436567
"volunteer 2","U","RMS","ZYG","1",10.3171675805825
"volunteer 3","U","RMS","ZYG","1",8.41407802609131
"volunteer 4","U","RMS","ZYG","1",4.75949361320222
"volunteer 5","U","RMS","ZYG","1",6.17137385206563
"volunteer 1","A","MAV","ZYG","1",4.30956669293101
"volunteer 2","A","MAV","ZYG","1",7.1502717528359
"volunteer 3","A","MAV","ZYG","1",12.2704568857564
"volunteer 4","A","MAV","ZYG","1",3.70845074320877
"volunteer 5","A","MAV","ZYG","1",4.72350386893439
"volunteer 1","E","MAV","ZYG","1",8.3135991512694
"volunteer 2","E","MAV","ZYG","1",7.98398210847849
"volunteer 3","E","MAV","ZYG","1",13.9764380498634
"volunteer 4","E","MAV","ZYG","1",3.08414984099261
"volunteer 5","E","MAV","ZYG","1",5.04877736939909
"volunteer 1","I","MAV","ZYG","1",6.49717289332717
"volunteer 2","I","MAV","ZYG","1",10.9086188675313
"volunteer 3","I","MAV","ZYG","1",16.0670166247297
"volunteer 4","I","MAV","ZYG","1",3.46564803414285
"volunteer 5","I","MAV","ZYG","1",4.97259047903985
"volunteer 1","O","MAV","ZYG","1",4.32701233176736
"volunteer 2","O","MAV","ZYG","1",7.76379165291871
"volunteer 3","O","MAV","ZYG","1",11.0906087656541
"volunteer 4","O","MAV","ZYG","1",3.15954676056725
"volunteer 5","O","MAV","ZYG","1",4.27191812207028
"volunteer 1","U","MAV","ZYG","1",4.39921252468019
"volunteer 2","U","MAV","ZYG","1",8.08288634136727
"volunteer 3","U","MAV","ZYG","1",6.51432834001571
"volunteer 4","U","MAV","ZYG","1",3.66240802410463
"volunteer 5","U","MAV","ZYG","1",4.70950946808051
"volunteer 1","A","RMS","MEN","1",9.7340691252626
"volunteer 2","A","RMS","MEN","1",15.391930692498
"volunteer 3","A","RMS","MEN","1",31.1151112554087
"volunteer 4","A","RMS","MEN","1",36.4216140302203
"volunteer 5","A","RMS","MEN","1",34.2190838273492
"volunteer 1","E","RMS","MEN","1",27.3424438262711
"volunteer 2","E","RMS","MEN","1",30.5362406187486
"volunteer 3","E","RMS","MEN","1",24.5938757069912
"volunteer 4","E","RMS","MEN","1",45.6349968574767
"volunteer 5","E","RMS","MEN","1",17.2631337049417
"volunteer 1","I","RMS","MEN","1",22.5766101312245
"volunteer 2","I","RMS","MEN","1",43.4281201265209
"volunteer 3","I","RMS","MEN","1",40.0172674656723
"volunteer 4","I","RMS","MEN","1",74.3010318238487
"volunteer 5","I","RMS","MEN","1",12.6935840326062
"volunteer 1","O","RMS","MEN","1",6.63330570232651
"volunteer 2","O","RMS","MEN","1",20.0651061915159
"volunteer 3","O","RMS","MEN","1",24.1893294561896
"volunteer 4","O","RMS","MEN","1",35.3058080026823
"volunteer 5","O","RMS","MEN","1",12.8077238908193
"volunteer 1","U","RMS","MEN","1",7.51768493559213
"volunteer 2","U","RMS","MEN","1",31.5555629533581
"volunteer 3","U","RMS","MEN","1",34.068595090551
"volunteer 4","U","RMS","MEN","1",64.278601195359
"volunteer 5","U","RMS","MEN","1",44.8778552715152
"volunteer 1","A","MAV","MEN","1",7.43604568502229
"volunteer 2","A","MAV","MEN","1",11.6262343694535
"volunteer 3","A","MAV","MEN","1",23.6093782287789
"volunteer 4","A","MAV","MEN","1",26.2120468805588
"volunteer 5","A","MAV","MEN","1",23.0674011126973
"volunteer 1","E","MAV","MEN","1",19.4183675540404
"volunteer 2","E","MAV","MEN","1",20.8924858062849
"volunteer 3","E","MAV","MEN","1",19.5980021815316
"volunteer 4","E","MAV","MEN","1",32.8848830506459
"volunteer 5","E","MAV","MEN","1",12.1745581055296
"volunteer 1","I","MAV","MEN","1",15.8587786981656
"volunteer 2","I","MAV","MEN","1",31.506142972913
"volunteer 3","I","MAV","MEN","1",30.323278254069
"volunteer 4","I","MAV","MEN","1",51.5152771028358
"volunteer 5","I","MAV","MEN","1",8.90198461669219
"volunteer 1","O","MAV","MEN","1",5.05602948930449
"volunteer 2","O","MAV","MEN","1",14.7415611881652
"volunteer 3","O","MAV","MEN","1",20.0707844835963
"volunteer 4","O","MAV","MEN","1",26.173755236231
"volunteer 5","O","MAV","MEN","1",9.29401855202501
"volunteer 1","U","MAV","MEN","1",5.78594355185995
"volunteer 2","U","MAV","MEN","1",23.1985222958849
"volunteer 3","U","MAV","MEN","1",29.10993152778
"volunteer 4","U","MAV","MEN","1",46.3079429664786
"volunteer 5","U","MAV","MEN","1",32.9161485867789
"volunteer 1","A","RMS","DIG","1",7.33026955893821
"volunteer 2","A","RMS","DIG","1",21.3079202077896
"volunteer 3","A","RMS","DIG","1",9.45524673379278
"volunteer 4","A","RMS","DIG","1",15.7550360113755
"volunteer 5","A","RMS","DIG","1",5.66286528367586
"volunteer 1","E","RMS","DIG","1",7.22996507770882
"volunteer 2","E","RMS","DIG","1",17.6301569652626
"volunteer 3","E","RMS","DIG","1",8.86302295136736
"volunteer 4","E","RMS","DIG","1",11.3788648018433
"volunteer 5","E","RMS","DIG","1",6.13260093001352
"volunteer 1","I","RMS","DIG","1",7.50812949564741
"volunteer 2","I","RMS","DIG","1",16.661036781469
"volunteer 3","I","RMS","DIG","1",8.55735091149377
"volunteer 4","I","RMS","DIG","1",9.60549044997741
"volunteer 5","I","RMS","DIG","1",6.55119507344323
"volunteer 1","O","RMS","DIG","1",6.57064912236716
"volunteer 2","O","RMS","DIG","1",16.0312204531503
"volunteer 3","O","RMS","DIG","1",8.0414669257436
"volunteer 4","O","RMS","DIG","1",10.980859099135
"volunteer 5","O","RMS","DIG","1",6.21642867134451
"volunteer 1","U","RMS","DIG","1",6.65713045830558
"volunteer 2","U","RMS","DIG","1",30.9171025828792
"volunteer 3","U","RMS","DIG","1",8.0299792066593
"volunteer 4","U","RMS","DIG","1",8.86473797413915
"volunteer 5","U","RMS","DIG","1",6.42402418012063
"volunteer 1","A","MAV","DIG","1",5.6062627623813
"volunteer 2","A","MAV","DIG","1",16.1309620773949
"volunteer 3","A","MAV","DIG","1",7.38249279110705
"volunteer 4","A","MAV","DIG","1",11.3498935719714
"volunteer 5","A","MAV","DIG","1",4.38744959425028
"volunteer 1","E","MAV","DIG","1",5.51761570936378
"volunteer 2","E","MAV","DIG","1",14.2569172941764
"volunteer 3","E","MAV","DIG","1",6.85079640005124
"volunteer 4","E","MAV","DIG","1",8.39796444809615
"volunteer 5","E","MAV","DIG","1",4.72785730353408
"volunteer 1","I","MAV","DIG","1",5.77188896958547
"volunteer 2","I","MAV","DIG","1",13.4503736935292
"volunteer 3","I","MAV","DIG","1",6.67422496099614
"volunteer 4","I","MAV","DIG","1",7.23985950464865
"volunteer 5","I","MAV","DIG","1",5.05833932327665
"volunteer 1","O","MAV","DIG","1",5.1527639965173
"volunteer 2","O","MAV","DIG","1",12.9939430806462
"volunteer 3","O","MAV","DIG","1",6.21329898442463
"volunteer 4","O","MAV","DIG","1",8.42816895915824
"volunteer 5","O","MAV","DIG","1",4.7701499493971
"volunteer 1","U","MAV","DIG","1",5.11166859898763
"volunteer 2","U","MAV","DIG","1",21.7497171067976
"volunteer 3","U","MAV","DIG","1",6.26059537623642
"volunteer 4","U","MAV","DIG","1",6.75748271495929
"volunteer 5","U","MAV","DIG","1",4.91782927384906
"volunteer 1","A","RMS","OOS","2",6.36819039886538
"volunteer 2","A","RMS","OOS","2",4.89249830774902
"volunteer 3","A","RMS","OOS","2",13.6708256439479
"volunteer 4","A","RMS","OOS","2",6.04680866313193
"volunteer 5","A","RMS","OOS","2",4.94255593819299
"volunteer 1","E","RMS","OOS","2",7.00597242790295
"volunteer 2","E","RMS","OOS","2",6.83219754173988
"volunteer 3","E","RMS","OOS","2",15.5627145528137
"volunteer 4","E","RMS","OOS","2",6.88127755549942
"volunteer 5","E","RMS","OOS","2",4.81970190636409
"volunteer 1","I","RMS","OOS","2",8.42949931847352
"volunteer 2","I","RMS","OOS","2",6.67408922565095
"volunteer 3","I","RMS","OOS","2",14.2795156403777
"volunteer 4","I","RMS","OOS","2",5.77454644883629
"volunteer 5","I","RMS","OOS","2",9.08338152780242
"volunteer 1","O","RMS","OOS","2",11.8474927553393
"volunteer 2","O","RMS","OOS","2",12.2218521556286
"volunteer 3","O","RMS","OOS","2",17.2631321265982
"volunteer 4","O","RMS","OOS","2",28.8507866863352
"volunteer 5","O","RMS","OOS","2",32.5020967856277
"volunteer 1","U","RMS","OOS","2",20.5873644146529
"volunteer 2","U","RMS","OOS","2",80.0543148289805
"volunteer 3","U","RMS","OOS","2",25.4209471258811
"volunteer 4","U","RMS","OOS","2",32.9037797394193
"volunteer 5","U","RMS","OOS","2",56.0448442113969
"volunteer 1","A","MAV","OOS","2",4.81356365614005
"volunteer 2","A","MAV","OOS","2",3.77767900528274
"volunteer 3","A","MAV","OOS","2",10.7434327272952
"volunteer 4","A","MAV","OOS","2",4.60520219738803
"volunteer 5","A","MAV","OOS","2",3.81434745959513
"volunteer 1","E","MAV","OOS","2",5.45078762231558
"volunteer 2","E","MAV","OOS","2",5.33656412383085
"volunteer 3","E","MAV","OOS","2",12.2846562160348
"volunteer 4","E","MAV","OOS","2",5.32395044934468
"volunteer 5","E","MAV","OOS","2",3.66784905747237
"volunteer 1","I","MAV","OOS","2",6.17074227209475
"volunteer 2","I","MAV","OOS","2",4.97644260497321
